model;forecast_date;state_date;param_name;param_value
catboost_lags_regimes;2025-09-30;2025-06-30;depth;4.0
catboost_lags_regimes;2025-09-30;2025-06-30;learning_rate;0.03
catboost_lags_regimes;2025-09-30;2025-06-30;l2_leaf_reg;3.0
catboost_lags_regimes;2025-09-30;2025-06-30;iterations;300.0
patchtst_global;2018-12-31;2018-09-30;d_model;64.0
patchtst_global;2018-12-31;2018-09-30;num_layers;2.0
patchtst_global;2018-12-31;2018-09-30;dropout;0.1
patchtst_global;2018-12-31;2018-09-30;lr;0.001
patchtst_global;2018-12-31;2018-09-30;weight_decay;0.0001
patchtst_global;2019-03-31;2018-12-31;d_model;96.0
patchtst_global;2019-03-31;2018-12-31;num_layers;3.0
patchtst_global;2019-03-31;2018-12-31;dropout;0.1
patchtst_global;2019-03-31;2018-12-31;lr;0.0007
patchtst_global;2019-03-31;2018-12-31;weight_decay;0.0001
patchtst_global;2019-06-30;2019-03-31;d_model;64.0
patchtst_global;2019-06-30;2019-03-31;num_layers;2.0
patchtst_global;2019-06-30;2019-03-31;dropout;0.1
patchtst_global;2019-06-30;2019-03-31;lr;0.001
patchtst_global;2019-06-30;2019-03-31;weight_decay;0.0001
patchtst_global;2019-09-30;2019-06-30;d_model;64.0
patchtst_global;2019-09-30;2019-06-30;num_layers;2.0
patchtst_global;2019-09-30;2019-06-30;dropout;0.1
patchtst_global;2019-09-30;2019-06-30;lr;0.001
patchtst_global;2019-09-30;2019-06-30;weight_decay;0.0001
patchtst_global;2019-12-31;2019-09-30;d_model;64.0
patchtst_global;2019-12-31;2019-09-30;num_layers;2.0
patchtst_global;2019-12-31;2019-09-30;dropout;0.1
patchtst_global;2019-12-31;2019-09-30;lr;0.001
patchtst_global;2019-12-31;2019-09-30;weight_decay;0.0001
patchtst_global;2020-03-31;2019-12-31;d_model;64.0
patchtst_global;2020-03-31;2019-12-31;num_layers;2.0
patchtst_global;2020-03-31;2019-12-31;dropout;0.1
patchtst_global;2020-03-31;2019-12-31;lr;0.001
patchtst_global;2020-03-31;2019-12-31;weight_decay;0.0001
patchtst_global;2020-06-30;2020-03-31;d_model;64.0
patchtst_global;2020-06-30;2020-03-31;num_layers;2.0
patchtst_global;2020-06-30;2020-03-31;dropout;0.1
patchtst_global;2020-06-30;2020-03-31;lr;0.001
patchtst_global;2020-06-30;2020-03-31;weight_decay;0.0001
patchtst_global;2020-09-30;2020-06-30;d_model;96.0
patchtst_global;2020-09-30;2020-06-30;num_layers;3.0
patchtst_global;2020-09-30;2020-06-30;dropout;0.1
patchtst_global;2020-09-30;2020-06-30;lr;0.0007
patchtst_global;2020-09-30;2020-06-30;weight_decay;0.0001
patchtst_global;2020-12-31;2020-09-30;d_model;96.0
patchtst_global;2020-12-31;2020-09-30;num_layers;3.0
patchtst_global;2020-12-31;2020-09-30;dropout;0.1
patchtst_global;2020-12-31;2020-09-30;lr;0.0007
patchtst_global;2020-12-31;2020-09-30;weight_decay;0.0001
patchtst_global;2021-03-31;2020-12-31;d_model;96.0
patchtst_global;2021-03-31;2020-12-31;num_layers;3.0
patchtst_global;2021-03-31;2020-12-31;dropout;0.1
patchtst_global;2021-03-31;2020-12-31;lr;0.0007
patchtst_global;2021-03-31;2020-12-31;weight_decay;0.0001
patchtst_global;2021-06-30;2021-03-31;d_model;64.0
patchtst_global;2021-06-30;2021-03-31;num_layers;2.0
patchtst_global;2021-06-30;2021-03-31;dropout;0.1
patchtst_global;2021-06-30;2021-03-31;lr;0.001
patchtst_global;2021-06-30;2021-03-31;weight_decay;0.0001
