month_end;model;n_assets;mse;mae;spearman_rank_corr;state_date;q;obs_var;state_infl_high;state_dd_stress;alpha;l1_ratio;window
2024-03-31;elastic_net;231;0.040953;0.180715;;2023-12-31;;;0.0;1.0;0.1;0.8;
2024-06-30;elastic_net;237;0.033002;0.139074;;2024-03-31;;;0.0;1.0;0.1;0.2;
2024-09-30;elastic_net;238;0.02251;0.118624;-0.316789;2024-06-30;;;0.0;1.0;0.01;0.8;
2024-12-31;elastic_net;240;0.048882;0.174096;0.270897;2024-09-30;;;1.0;1.0;0.01;0.8;
2025-03-31;elastic_net;240;0.036095;0.168521;;2024-12-31;;;0.0;1.0;0.1;0.8;
2025-06-30;elastic_net;240;0.028614;0.128683;0.42798;2025-03-31;;;0.0;1.0;0.1;0.8;
2025-09-30;elastic_net;239;0.016285;0.092034;-0.159375;2025-06-30;;;0.0;1.0;0.01;0.5;
2018-12-31;rolling_ols;226;0.082982;0.162974;-0.048714;2018-09-30;;;1.0;0.0;;;4.0
2019-03-31;rolling_ols;228;0.048953;0.131844;-0.292486;2018-12-31;;;0.0;0.0;;;4.0
2019-06-30;rolling_ols;227;0.041702;0.121154;0.207158;2019-03-31;;;0.0;0.0;;;4.0
2019-09-30;rolling_ols;228;0.026081;0.114416;-0.146637;2019-06-30;;;0.0;0.0;;;4.0
2019-12-31;rolling_ols;230;0.045559;0.170011;0.123509;2019-09-30;;;0.0;0.0;;;4.0
2020-03-31;rolling_ols;229;0.039116;0.128087;-0.078309;2019-12-31;;;1.0;1.0;;;12.0
2020-06-30;rolling_ols;232;0.045215;0.140154;0.10341;2020-03-31;;;0.0;1.0;;;12.0
2020-09-30;rolling_ols;224;0.152702;0.364356;-0.292698;2020-06-30;;;0.0;0.0;;;8.0
2020-12-31;rolling_ols;229;0.042054;0.145166;-0.004211;2020-09-30;;;1.0;0.0;;;12.0
2021-03-31;rolling_ols;228;0.03408;0.144509;-0.014799;2020-12-31;;;1.0;0.0;;;12.0
2021-06-30;rolling_ols;228;0.064291;0.158966;-0.086814;2021-03-31;;;1.0;0.0;;;12.0
2021-09-30;rolling_ols;227;0.05346;0.178228;0.066753;2021-06-30;;;1.0;0.0;;;12.0
2021-12-31;rolling_ols;225;0.056348;0.200421;0.091124;2021-09-30;;;1.0;0.0;;;8.0
2022-03-31;rolling_ols;225;0.137206;0.336718;0.118425;2021-12-31;;;1.0;1.0;;;8.0
2022-06-30;rolling_ols;225;0.025181;0.12795;0.219538;2022-03-31;;;0.0;1.0;;;4.0
2022-09-30;rolling_ols;221;0.132214;0.317577;-0.000219;2022-06-30;;;0.0;1.0;;;4.0
2022-12-31;rolling_ols;220;0.180775;0.314769;0.286375;2022-09-30;;;1.0;1.0;;;12.0
2023-03-31;rolling_ols;220;0.517354;0.634791;0.347134;2022-12-31;;;0.0;1.0;;;8.0
2023-06-30;rolling_ols;219;0.209382;0.335029;0.438277;2023-03-31;;;0.0;1.0;;;4.0
2023-09-30;rolling_ols;223;0.066022;0.211942;-0.439222;2023-06-30;;;1.0;1.0;;;4.0
2023-12-31;rolling_ols;229;0.211182;0.409831;0.218719;2023-09-30;;;0.0;1.0;;;4.0
2024-03-31;rolling_ols;231;0.089229;0.265125;-0.26269;2023-12-31;;;0.0;1.0;;;4.0
2024-06-30;rolling_ols;237;0.023716;0.099652;0.062799;2024-03-31;;;0.0;1.0;;;8.0
2024-09-30;rolling_ols;238;0.028191;0.134022;-0.270807;2024-06-30;;;0.0;1.0;;;8.0
2024-12-31;rolling_ols;240;0.158605;0.370413;0.202096;2024-09-30;;;1.0;1.0;;;8.0
2025-03-31;rolling_ols;240;0.012926;0.084093;0.210057;2024-12-31;;;0.0;1.0;;;4.0
2025-06-30;rolling_ols;240;0.039994;0.142586;-0.17425;2025-03-31;;;0.0;1.0;;;4.0
2025-09-30;rolling_ols;239;0.033205;0.149458;-0.032237;2025-06-30;;;0.0;1.0;;;4.0
2018-12-31;catboost_lags_regimes;226;0.076807;0.159263;0.113589;2018-09-30;;;1.0;0.0;;;
2019-03-31;catboost_lags_regimes;228;0.05787;0.152123;-0.321418;2018-12-31;;;0.0;0.0;;;
2019-06-30;catboost_lags_regimes;227;0.04485;0.119406;0.024371;2019-03-31;;;0.0;0.0;;;
2019-09-30;catboost_lags_regimes;228;0.024705;0.10601;0.141983;2019-06-30;;;0.0;0.0;;;
2019-12-31;catboost_lags_regimes;230;0.045286;0.166691;-0.03041;2019-09-30;;;0.0;0.0;;;
2020-03-31;catboost_lags_regimes;229;0.053916;0.154337;0.095846;2019-12-31;;;1.0;1.0;;;
2020-06-30;catboost_lags_regimes;232;0.046168;0.145643;0.041827;2020-03-31;;;0.0;1.0;;;
2020-09-30;catboost_lags_regimes;224;0.037665;0.126976;-0.077014;2020-06-30;;;0.0;0.0;;;
2020-12-31;catboost_lags_regimes;229;0.04404;0.125622;-0.013502;2020-09-30;;;1.0;0.0;;;
2021-03-31;catboost_lags_regimes;228;0.033221;0.124496;0.07381;2020-12-31;;;1.0;0.0;;;
2021-06-30;catboost_lags_regimes;228;0.067069;0.15173;-0.096677;2021-03-31;;;1.0;0.0;;;
2021-09-30;catboost_lags_regimes;227;0.052885;0.171918;0.058665;2021-06-30;;;1.0;0.0;;;
2021-12-31;catboost_lags_regimes;225;0.05622;0.201509;0.17614;2021-09-30;;;1.0;0.0;;;
2022-03-31;catboost_lags_regimes;225;0.043027;0.145867;0.115668;2021-12-31;;;1.0;1.0;;;
2022-06-30;catboost_lags_regimes;225;0.029615;0.139789;0.095535;2022-03-31;;;0.0;1.0;;;
2022-09-30;catboost_lags_regimes;221;0.107582;0.276995;-0.041265;2022-06-30;;;0.0;1.0;;;
2022-12-31;catboost_lags_regimes;220;0.135186;0.248316;-0.006742;2022-09-30;;;1.0;1.0;;;
2023-03-31;catboost_lags_regimes;220;0.139064;0.253671;0.00546;2022-12-31;;;0.0;1.0;;;
2023-06-30;catboost_lags_regimes;219;0.229568;0.342495;0.484928;2023-03-31;;;0.0;1.0;;;
2023-09-30;catboost_lags_regimes;223;0.219746;0.414395;-0.482715;2023-06-30;;;1.0;1.0;;;
2023-12-31;catboost_lags_regimes;229;0.103291;0.249251;-0.125687;2023-09-30;;;0.0;1.0;;;
2024-03-31;catboost_lags_regimes;231;0.034625;0.159756;-0.160563;2023-12-31;;;0.0;1.0;;;
2024-06-30;catboost_lags_regimes;237;0.028297;0.121109;0.031669;2024-03-31;;;0.0;1.0;;;
2024-09-30;catboost_lags_regimes;238;0.033207;0.150251;-0.108286;2024-06-30;;;0.0;1.0;;;
2024-12-31;catboost_lags_regimes;240;0.032959;0.130619;-0.188362;2024-09-30;;;1.0;1.0;;;
2025-03-31;catboost_lags_regimes;240;0.039144;0.175331;0.021769;2024-12-31;;;0.0;1.0;;;
2025-06-30;catboost_lags_regimes;240;0.034221;0.132236;-0.225629;2025-03-31;;;0.0;1.0;;;
2025-09-30;catboost_lags_regimes;239;0.013674;0.084444;-0.065332;2025-06-30;;;0.0;1.0;;;
2018-12-31;patchtst_global;220;0.18302;0.325273;0.010346;2018-09-30;;;1.0;0.0;;;
2019-03-31;patchtst_global;223;0.116831;0.276196;-0.401349;2018-12-31;;;0.0;0.0;;;
