strategy;forecast_date;month_end;state_date;model_requested;model_used;expected_return;portfolio_return;n_assets;max_weight;weight_sum;expected_col;state_infl_high;state_vol_high_auto;state_dd_stress
selector_composite;2019-09-30;2019-09-30;2019-06-30;kalman_tvp;kalman_tvp;0.08810192;0.08010169;10;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_composite;2019-12-31;2019-12-31;2019-09-30;rolling_ols;rolling_ols;0.05319265;-0.0861071;9;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_composite;2020-03-31;2020-03-31;2019-12-31;elastic_net;elastic_net;0.10999872;0.05636327;10;0.15;1.0;prediction_scaled;1.0;0.0;1.0
selector_composite;2020-06-30;2020-06-30;2020-03-31;catboost_lags_regimes;catboost_lags_regimes;0.15565718;0.14939728;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_composite;2020-09-30;2020-09-30;2020-06-30;elastic_net;elastic_net;0.09580666;0.02079371;10;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_composite;2020-12-31;2020-12-31;2020-09-30;catboost_lags_regimes;catboost_lags_regimes;0.06887294;0.09541194;9;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_composite;2021-03-31;2021-03-31;2020-12-31;elastic_net;elastic_net;0.06797094;0.10184218;11;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_composite;2021-06-30;2021-06-30;2021-03-31;elastic_net;elastic_net;0.05960214;0.06097882;9;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_composite;2021-09-30;2021-09-30;2021-06-30;rolling_ols;rolling_ols;0.08485979;0.08414608;9;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_composite;2021-12-31;2021-12-31;2021-09-30;rolling_ols;rolling_ols;0.03289389;-0.08940225;12;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_composite;2022-03-31;2022-03-31;2021-12-31;catboost_lags_regimes;catboost_lags_regimes;0.04448052;-0.16583745;11;0.15;1.0;prediction_scaled;1.0;1.0;1.0
selector_composite;2022-06-30;2022-06-30;2022-03-31;catboost_lags_regimes;catboost_lags_regimes;0.05310805;-0.10221314;9;0.15;1.0;prediction_scaled;0.0;1.0;1.0
selector_composite;2022-09-30;2022-09-30;2022-06-30;catboost_lags_regimes;catboost_lags_regimes;0.01060254;0.2427094;8;0.15;1.0;prediction_scaled;0.0;1.0;1.0
selector_composite;2022-12-31;2022-12-31;2022-09-30;elastic_net;elastic_net;0.02770594;0.3319243;10;0.15;1.0;prediction_scaled;1.0;1.0;1.0
selector_composite;2023-03-31;2023-03-31;2022-12-31;catboost_lags_regimes;catboost_lags_regimes;0.18010866;0.35319837;10;0.15;1.0;prediction_scaled;0.0;1.0;1.0
selector_composite;2023-06-30;2023-06-30;2023-03-31;kalman_tvp;kalman_tvp;0.34929806;0.34919215;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_composite;2023-09-30;2023-09-30;2023-06-30;kalman_tvp;kalman_tvp;0.30856304;-0.02269431;8;0.15;1.0;prediction_scaled;1.0;0.0;1.0
selector_composite;2023-12-31;2023-12-31;2023-09-30;kalman_tvp;kalman_tvp;-0.16260401;0.17285924;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
